ID,"Street Address
City, State","Building
Registration
Number",HPD-BIN,HUD_ID,HPD-BBL,HPD-complaints S1-2019,HPD-complaints S2-2020,increase
106159699999999991020660034,"832 SAINT NICHOLAS AVE
NEW YORK, NY",112617,1061596,9999999999,1020660034,#N/A,#N/A,#N/A
106162999999999991020670043,"849 SAINT NICHOLAS AVE
NEW YORK, NY",137535,1061629,9999999999,1020670043,#N/A,#N/A,#N/A
106162599999999991020670036,"856 SAINT NICHOLAS AVE
NEW YORK, NY",105024,1061625,9999999999,1020670036,1,,
106117699999999991020540033,"24 SAINT NICHOLAS PL
NEW YORK, NY",101270,1061176,9999999999,1020540033,1,,
106117499999999991020540030,"28 SAINT NICHOLAS PL
NEW YORK, NY",101271,1061174,9999999999,1020540030,#N/A,#N/A,#N/A
106161999999999991020670030,"43 SAINT NICHOLAS PL
NEW YORK, NY",114381,1061619,9999999999,1020670030,#N/A,#N/A,#N/A
106162099999999991020670031,"47 SAINT NICHOLAS PL
NEW YORK, NY",128387,1061620,9999999999,1020670031,#N/A,#N/A,#N/A
106162399999999991020670034,"55 SAINT NICHOLAS PL
NEW YORK, NY",141090,1061623,9999999999,1020670034,#N/A,#N/A,#N/A
106162499999999991020670035,"57 SAINT NICHOLAS PL
NEW YORK, NY",124043,1061624,9999999999,1020670035,#N/A,#N/A,#N/A
105975999999999991019880021,"513 W 134TH ST
NEW YORK, NY",101061,1059759,9999999999,1019880021,#N/A,#N/A,#N/A
105974699999999991019870046,"516 W 134TH ST
NEW YORK, NY",111172,1059746,9999999999,1019870046,#N/A,#N/A,#N/A
108941599999999991019880018,"517 W 134TH ST
NEW YORK, NY",144458,1089415,9999999999,1019880018,#N/A,#N/A,#N/A
105974799999999991019870048,"518 W 134TH ST
NEW YORK, NY",118302,1059747,9999999999,1019870048,#N/A,#N/A,#N/A
105975499999999991019880012,"523 W 134TH ST
NEW YORK, NY",103714,1059754,9999999999,1019880012,#N/A,#N/A,#N/A
105977399999999991019880044,"510 W 135TH ST
NEW YORK, NY",124927,1059773,9999999999,1019880044,#N/A,#N/A,#N/A
105977499999999991019880046,"512 W 135TH ST
NEW YORK, NY",110773,1059774,9999999999,1019880046,#N/A,#N/A,#N/A
105979099999999991019880094,"513 W 135TH ST
NEW YORK, NY",113402,1059790,9999999999,1019880094,#N/A,#N/A,#N/A
105978399999999991019880083,"527 W 135TH ST
NEW YORK, NY",119881,1059783,9999999999,1019880083,#N/A,#N/A,#N/A
105978199999999991019880080,"531 W 135TH ST
NEW YORK, NY",111447,1059781,9999999999,1019880080,#N/A,#N/A,#N/A
105995799999999991020020026,"609 W 135TH ST
NEW YORK, NY",123190,1059957,9999999999,1020020026,#N/A,#N/A,#N/A
105995699999999991020020024,"611 W 135TH ST
NEW YORK, NY",123191,1059956,9999999999,1020020024,#N/A,#N/A,#N/A
105995499999999991020020021,"617 W 135TH ST
NEW YORK, NY",123193,1059954,9999999999,1020020021,#N/A,#N/A,#N/A
105995399999999991020020019,"619 W 135TH ST
NEW YORK, NY",123194,1059953,9999999999,1020020019,#N/A,#N/A,#N/A
